SourcePath,SourceName,Extension,RelativePath,Target,SizeBytes,ModifiedAt,IndexedAt
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600011170.0001.docx,SDE-TS-RE600011170.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600011170.0001.docx,07_SCIFORMA/acceptence_reports,49351,2020-01-14T01:50:42.255742+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600011170.0001.pdf,SDE-TS-RE600011170.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600011170.0001.pdf,07_SCIFORMA/acceptence_reports,105335,2018-03-27T00:53:57.132617+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600011664.0001.docx,SDE-TS-RE600011664.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600011664.0001.docx,07_SCIFORMA/acceptence_reports,49336,2020-01-14T01:50:43.427618+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600011746.0001.docx,SDE-TS-RE600011746.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600011746.0001.docx,07_SCIFORMA/acceptence_reports,49335,2020-01-14T01:50:43.911994+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600011746.0001.pdf,SDE-TS-RE600011746.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600011746.0001.pdf,07_SCIFORMA/acceptence_reports,102476,2018-03-27T00:54:28.726429+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600011880.0001.docx,SDE-TS-RE600011880.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600011880.0001.docx,07_SCIFORMA/acceptence_reports,49334,2020-01-14T01:50:44.193277+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600011880.0001.pdf,SDE-TS-RE600011880.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600011880.0001.pdf,07_SCIFORMA/acceptence_reports,103020,2018-03-27T00:54:29.710809+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600012677.0001.docx,SDE-TS-RE600012677.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600012677.0001.docx,07_SCIFORMA/acceptence_reports,49332,2020-01-14T01:50:46.021369+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600012677.0001.pdf,SDE-TS-RE600012677.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600012677.0001.pdf,07_SCIFORMA/acceptence_reports,103604,2018-03-27T00:54:36.038977+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600012678.0001.docx,SDE-TS-RE600012678.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600012678.0001.docx,07_SCIFORMA/acceptence_reports,49329,2020-01-14T01:50:46.084810+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600012678.0001.pdf,SDE-TS-RE600012678.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600012678.0001.pdf,07_SCIFORMA/acceptence_reports,103577,2018-03-27T00:54:36.195257+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600012740.0001.docx,SDE-TS-RE600012740.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600012740.0001.docx,07_SCIFORMA/acceptence_reports,49333,2020-01-14T01:50:46.318252+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600012740.0001.pdf,SDE-TS-RE600012740.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600012740.0001.pdf,07_SCIFORMA/acceptence_reports,102967,2018-03-27T00:54:36.867139+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600014167.0001.docx,SDE-TS-RE600014167.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600014167.0001.docx,07_SCIFORMA/acceptence_reports,49350,2020-01-14T01:50:50.380774+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600014167.0001.pdf,SDE-TS-RE600014167.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600014167.0001.pdf,07_SCIFORMA/acceptence_reports,104109,2018-03-27T00:55:15.508012+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600014694.0001.docx,SDE-TS-RE600014694.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600014694.0001.docx,07_SCIFORMA/acceptence_reports,49331,2020-01-14T01:50:51.365124+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600014694.0001.pdf,SDE-TS-RE600014694.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600014694.0001.pdf,07_SCIFORMA/acceptence_reports,102581,2018-03-27T00:55:18.789251+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600014760.0001.docx,SDE-TS-RE600014760.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600014760.0001.docx,07_SCIFORMA/acceptence_reports,49321,2020-01-14T01:50:51.677619+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600015292.0001.docx,SDE-TS-RE600015292.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600015292.0001.docx,07_SCIFORMA/acceptence_reports,49315,2020-01-14T01:50:52.880742+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600015292.0001.pdf,SDE-TS-RE600015292.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600015292.0001.pdf,07_SCIFORMA/acceptence_reports,103203,2018-03-27T00:55:23.601812+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600015377.0001.docx,SDE-TS-RE600015377.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600015377.0001.docx,07_SCIFORMA/acceptence_reports,49336,2020-01-14T01:50:53.240126+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016142.0001.docx,SDE-TS-RE600016142.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016142.0001.docx,07_SCIFORMA/acceptence_reports,49346,2020-01-14T01:50:58.271414+00:00,2026-03-12T11:16:06.006618+00:00
